X_coord,Y_coord,StackHeight,Classification
-2133,18,3,1
-2133,28,1,3
-2133,34,2,3
-2133,40,2,3
-2133,50,2,1
-2133,55,3,1
-2133,56,3,1
-2133,57,3,1
-2132,8,3,1
-2132,18,2,1
-2132,22,3,1
-2132,23,3,1
-2132,24,3,1
-2132,25,2,1
-2132,26,2,1
-2132,27,2,1
-2132,28,2,1
-2132,34,2,1
-2132,35,2,3
-2132,36,3,1
-2132,37,3,1
-2132,38,3,1
-2132,39,2,3
-2132,40,2,1
-2132,50,2,1
-2132,57,2,2
-2131,8,3,1
-2131,18,2,1
-2131,50,3,1
-2131,51,3,1
-2131,52,3,1
-2131,55,2,1
-2131,56,2,2
-2131,57,2,1
-2130,8,2,1
-2129,8,2,1
-2128,36,3,1
-2127,12,2,1
-2127,13,2,3
-2127,14,3,1
-2127,16,3,1
-2127,17,3,1
-2127,18,2,1
-2127,19,2,1
-2127,36,3,1
-2127,46,2,1
-2127,47,2,2
-2127,48,2,1
-2126,12,2,3
-2126,14,3,1
-2126,34,2,1
-2126,35,2,1
-2126,36,3,1
-2126,46,2,2
-2126,48,3,1
-2125,12,2,1
-2125,13,3,1
-2125,14,3,1
-2125,46,2,1
-2125,47,3,1
-2125,48,3,1
-2113,48,3,1
-2113,49,3,1
-2113,50,3,1
-2112,48,2,2
-2112,50,2,2
-2111,48,2,1
-2111,50,2,1
-2109,12,2,1
-2109,13,3,1
-2109,14,3,1
-2109,36,2,2
-2109,37,2,2
-2109,38,2,2
-2109,48,2,1
-2108,12,2,3
-2108,14,3,3
-2108,36,2,2
-2108,38,2,2
-2108,48,2,2
-2107,12,2,1
-2107,13,2,3
-2107,14,3,1
-2107,36,3,1
-2107,37,3,1
-2107,38,3,1
-2107,47,2,1
-2107,48,3,1
-2106,47,3,1
-2099,23,2,1
-2099,42,3,1
-2099,51,2,1
-2098,23,2,1
-2098,42,3,1
-2098,44,2,1
-2098,49,2,1
-2098,50,2,1
-2098,51,2,1
-2097,3,2,1
-2097,4,3,1
-2097,5,3,1
-2097,6,3,1
-2097,7,2,1
-2097,8,2,1
-2097,23,2,1
-2097,42,3,1
-2097,43,3,1
-2097,44,3,1
-2096,21,3,1
-2096,22,3,1
-2096,23,3,1
-2095,3,2,3
-2095,4,2,3
-2095,5,2,1
-2095,33,3,1
-2095,34,3,1
-2095,35,3,1
-2095,38,2,3
-2095,39,2,1
-2094,5,2,3
-2094,33,3,1
-2094,35,2,3
-2094,39,2,3
-2094,51,3,1
-2094,52,3,1
-2094,53,3,1
-2093,3,3,1
-2093,4,3,1
-2093,5,3,1
-2093,33,2,1
-2093,34,2,3
-2093,35,2,1
-2093,39,3,1
-2093,51,2,3
-2092,39,3,1
-2092,51,2,3
-2090,56,3,1
-2090,57,3,1
-2090,58,3,1
-2089,47,3,1
-2089,48,3,1
-2089,49,3,1
-2089,56,2,1
-2088,47,2,3
-2088,49,2,3
-2088,56,2,1
-2088,57,2,1
-2088,58,2,1
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
